species	kingdom	phylum	class	order	family	genus
Peptoniphilus_harei	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Clostridium_sp_CAG_242	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Ruminococcaceae_bacterium_D16	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified
Bacteroides_intestinalis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Adlercreutzia_equolifaciens	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
Gordonibacter_pamelaeae	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter
Blautia_hansenii	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Holdemania_filiformis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania
Clostridium_leptum	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified
Oxalobacter_formigenes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter
Flavonifractor_plautii	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor
Streptococcus_infantis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Anaerotignum_lactatifermentans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum
Dialister_invisus	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Clostridium_bolteae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Bacteroides_xylanisolvens	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Haemophilus_parainfluenzae	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Tyzzerella_nexilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella
Gemmiger_formicilis	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger
Blautia_obeum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Eubacterium_siraeum	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified
Eubacterium_sp_CAG_180	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Parabacteroides_johnsonii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Eubacterium_rectale	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified
Roseburia_intestinalis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Bacteroides_caccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Klebsiella_virus_KP15	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	Kp15virus
Eubacterium_ventriosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Agathobaculum_butyriciproducens	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
Ruminococcus_torques	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Collinsella_aerofaciens	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Ruminococcus_bromii	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Bacteroides_fragilis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_finegoldii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Coprococcus_comes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Fusicatenibacter_saccharivorans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
Dorea_longicatena	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Intestinibacter_bartlettii	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter
Lawsonibacter_asaccharolyticus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Lawsonibacter
Citrobacter_freundii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Monoglobus_pectinilyticus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Monoglobus
Klebsiella_oxytoca	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Ruminococcus_bicirculans	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Coprococcus_eutactus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Ruminococcus_gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Lachnospira_pectinoschiza	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
Lactococcus_phage_bIL310	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Citrobacter_youngae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Blautia_wexlerae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Dorea_formicigenerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Ruminococcus_lactaris	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Enterococcus_faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Lactococcus_phage_ul36	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Oscillibacter_sp_57_20	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
Clostridium_sp_CAG_299	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Acidaminococcus_intestini	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
Eubacterium_eligens	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Roseburia_hominis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Eisenbergiella_massiliensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella
Bacteroides_nordii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Streptococcus_vestibularis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Lactococcus_phage_bIL285	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactococcus_phage_P335_sensu_lato	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Anaerotruncus_colihominis	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
Anaerostipes_hadrus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Firmicutes_bacterium_CAG_95	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Clostridium_sp_CAG_253	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Blautia_sp_CAG_257	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Cyprinid_herpesvirus_3	Viruses	Viruses_unclassified	Viruses_unclassified	Herpesvirales	Alloherpesviridae	Cyprinivirus
Christensenella_minuta	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella
Candidatus_Stoquefichus_sp_KLE1796	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Candidatus_Stoquefichus
[Collinsella]_massiliensis	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma
Clostridium_citroniae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Harryflintia_acetispora	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia
Alistipes_sp_An31A	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Bacteroides_sp_CAG_144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_faecis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Alistipes_inops	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Turicibacter_sanguinis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
Paraprevotella_xylaniphila	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Coprobacter_fastidiosus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter
Firmicutes_bacterium_CAG_110	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Phascolarctobacterium_sp_CAG_266	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Bacteroides_eggerthii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_clarus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Streptococcus_phage_MM1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Streptococcus_virus_7201	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sfi21dt1virus
Butyricimonas_synergistica	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas
Eubacterium_sp_CAG_38	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Eubacterium_ramulus	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Clostridium_disporicum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Butyricimonas_virosa	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas
Coprobacter_secundus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter
Desulfovibrionaceae_bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrionaceae_unclassified
Paraprevotella_clara	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Adoxophyes_orana_granulovirus	Viruses	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Baculoviridae	Betabaculovirus
Sutterella_parvirubra	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Methanobrevibacter_smithii	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Alistipes_timonensis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Eubacterium_hallii	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Eubacterium_sp_CAG_274	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Blautia_sp_N6H1_15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Clostridium_scindens	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Blautia_producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Erysipelatoclostridium_ramosum	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Anaerofustis_stercorihominis	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis
Eggerthella_lenta	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella
Lactococcus_phage_bIL312	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactonifactor_longoviformis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Lactonifactor
Pseudomonas_phage_F10	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactococcus_phage_bIL309	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Pseudomonas_phage_PA16	Viruses	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified
Pseudomonas_virus_phiCTX	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	P2virus
Actinobaculum_sp_oral_taxon_183	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum
Blautia_coccoides	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Clostridium_bolteae_CAG_59	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Enterorhabdus_caecimuris	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enterorhabdus
Firmicutes_bacterium_CAG_145	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Clostridium_aldenense	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Lactococcus_lactis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Firmicutes_bacterium_CAG_424	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Eubacterium_sp_CAG_251	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Enterobacter_cloacae_complex	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Dialister_sp_CAG_357	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Slackia_isoflavoniconvertens	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia
Clostridium_saccharolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Clostridium_spiroforme	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Clostridium_sp_CAG_167	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Lactococcus_phage_BK5_T	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Holdemanella_biformis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
Streptococcus_phage_PH10	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Parvimonas_micra	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
Klebsiella_quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Lactobacillus_rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Catabacter_hongkongensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	Catabacter
Gemella_sanguinis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella
Klebsiella_michiganensis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Actinomyces_odontolyticus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Streptococcus_sp_A12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus_anginosus_group	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Peptoniphilus_lacrimalis	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Escherichia_virus_RB14	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	T4virus
Shigella_virus_SP18	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	Sp18virus
Lactobacillus_acidophilus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Eisenbergiella_tayi	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella
Lactococcus_phage_bIL286	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Actinomyces_sp_oral_taxon_181	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Bifidobacterium_dentium	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Clostridium_sp_chh4_2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Veillonella_atypica	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Coprococcus_catus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Faecalitalea_cylindroides	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
Lactobacillus_salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Ruminococcus_callidus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Lactobacillus_rogosae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Klebsiella_virus_KP34	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Podoviridae	Kp34virus
Lactobacillus_phage_phiadh	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Salmonella_phage_Fels_1	Viruses	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified
Veillonella_parvula	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Clostridiales_bacterium_1_7_47FAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
Clostridium_asparagiforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Lactobacillus_paragasseri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Streptococcus_mutans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Romboutsia_ilealis	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
Bifidobacterium_animalis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium_pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Enterobacteria_phage_mEp460	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
